,image_name,cam,moon,celsius,fahr,date
7651,TF_ACULEI_8200_DSCF0289.jpg,1,,25°C,,2021/07/22
7652,TF_ACULEI_5129_DSCF5416.jpg,,,,,2021/06/20
7653,TF_ACULEI_2118_DSCF2123.jpg,1,,17°C,,2021/06/08
7654,TF_ACULEI_10561_DSCF0004.jpg,4,,2°C,29°F,07/02/2022
7655,TF_ACULEI_3244_DSCF3292.jpg,1,,16°C,,2021/06/12
7656,TF_ACULEI_16326_DSCF0301.jpg,4,,28°C,82 °F,2023/07/11
7657,TF_ACULEI_15967_DSCF0578.jpg,4,,"10°

  

 

C",50°F,2023/05/29
7658,TF_ACULEI_378_DSCF0183.jpg,,,15°C,,2021/05/25
7659,TF_ACULEI_5819_DSCF6138.jpg,CAMi,,20°C,,2021/06/22
7660,TF_ACULEI_10784_DSCF0054.jpg,5,,,32°F,16/03/2022
7661,TF_ACULEI_10203_DSCF0041.jpg,4,,,44°F,04/01/2022
7662,TF_ACULEI_15764_DSCF0090.jpg,,,,,
7663,TF_ACULEI_9603_IMAG0280.jpg,,,,,
7664,TF_ACULEI_992_DSCF0848.jpg,1,,16°C,,2021/05/27
7665,TF_ACULEI_14913_IMAG0056.jpg,,,,,
7666,TF_ACULEI_1018_DSCF0874.jpg,1,,16°C,,2021/05/27
7667,TF_ACULEI_2232_DSCF2242.jpg,1,,,,2021/06/08
7668,TF_ACULEI_2525_DSCF2535.jpg,1,,18°C,,2021/06/08
7669,TF_ACULEI_3410_DSCF3628.jpg,1,,20°C,,2021/06/15
7670,TF_ACULEI_4386_DSCF4650.jpg,,,,,2021/06/17
7671,TF_ACULEI_8615_DSCF0696.jpg,,,,,2021/07/28
7672,TF_ACULEI_11535_DSCF0022.jpg,5,,22°C,71°F,03/07/2022
7673,TF_ACULEI_10240_IMAG0035.jpg,,,,,
7674,TF_ACULEI_1273_DSCF1143.jpg,1,,18°C,,2021/06/01
7675,TF_ACULEI_15132_DSCF0192.jpg,4,,,41°F,2023/03/20
